Topic,Option,Consensus,Support,Conflict,Approval,Total Votes,Abstain Votes,Negative Votes,Positive Votes,Awful,Bad,Meh,OK,Good,Great,Best,Average Weighting,In Best Scenario
Mission,,89.72%,84.10%,9.76%,96.21%,2799,42,0,0,,,,,,,,50.0,NO
Mission, Lead the evolution of decentralized technologies and financial systems,88.24%,83.94%,15.48%,87.09%,2789,52,139,2429,1,7,131,221,359,742,1328,,NO
Mission,Bridge the gap between traditional finance and the decentralized financial systems,89.43%,84.43%,11.95%,91.46%,2788,53,20,2550,2,4,14,218,605,652,1293,,NO
Mission,Create a decentralized and transparent ecosystem,89.25%,84.53%,13.00%,87.55%,2780,61,32,2434,0,3,29,314,387,734,1313,,NO
Mission,Develop the community,87.43%,82.49%,14.53%,84.83%,2794,47,23,2370,2,1,20,401,538,560,1272,,Yes
Mission,Empower people through scalable blockchain technology,86.72%,82.76%,18.03%,87.10%,2783,58,125,2424,1,100,24,234,446,683,1295,,NO
Mission,"Foster innovation, empower individuals",89.86%,85.38%,12.87%,90.41%,2784,57,39,2517,0,6,33,228,520,557,1440,,NO
Mission,Make crypto easy to use and to catalyze decentralized innovation,89.92%,85.23%,12.17%,88.77%,2788,53,20,2475,2,3,15,293,356,792,1327,,NO
Short-Term Priorities,,89.89%,84.27%,9.53%,96.42%,2794,47,0,0,,,,,,,,50.0,NO
Short-Term Priorities,Community Engagement,89.52%,84.86%,12.80%,88.39%,2782,59,25,2459,1,4,20,298,417,694,1348,,NO
Short-Term Priorities,Developer Resources,90.17%,85.48%,11.79%,89.76%,2783,58,40,2498,1,3,36,245,324,876,1298,,NO
Short-Term Priorities,Effective Marketing,88.74%,83.90%,13.27%,89.42%,2760,81,31,2468,2,6,23,261,591,568,1309,,NO
Short-Term Priorities,Gas Fee Optimization,90.05%,85.49%,12.39%,90.52%,2784,57,37,2520,2,6,29,227,449,686,1385,,NO
