Topic,Option,Consensus,Support,Conflict,Approval,Total Votes,Abstain Votes,Negative Votes,Positive Votes,Awful,Bad,Meh,OK,Good,Great,Best,Average Weighting,In Best Scenario,Count-long,Count-short
Reduce Friction,,9.54%,17.46%,3.10%,1.01%,2277,1,0,0,,,,,,,,50.0,NO,,
Reduce Friction,Build a robust community of developers in ArbitrumDAO.,13.27%,11.30%,40.12%,11.30%,2274,4,2017,257,2017,0,0,0,0,0,257,,Yes,"",1
Reduce Friction,Build out anti-Sybil protections,22.67%,16.96%,56.36%,16.96%,2276,2,1890,386,1890,0,0,0,0,0,386,,NO,"",1
Reduce Friction,Create an inclusive environment for our community.,8.14%,8.44%,30.92%,8.44%,2275,3,2083,192,2083,0,0,0,0,0,192,,Yes,"",1
Reduce Friction,Encourage meaningful participation in the DAO activities,16.71%,13.23%,45.94%,13.23%,2275,3,1974,301,1974,0,0,0,0,0,301,,Yes,"",1
Reduce Friction,Ensure regulatory compliance,24.80%,18.45%,60.20%,18.45%,2277,1,1857,420,1857,0,0,0,0,0,420,,NO,"",1
Reduce Friction,Improve the equity of token distribution,32.91%,25.09%,75.21%,25.09%,2276,2,1705,571,1705,0,0,0,0,0,571,,NO,"",1
Reduce Friction,Make Arbitrum more accessible and easier to use for developers,6.45%,7.17%,26.64%,7.17%,2273,5,2110,163,2110,0,0,0,0,0,163,,Yes,"",1
Reduce Friction,Prioritize Gas fee optimization,38.97%,31.65%,86.56%,31.65%,2272,6,1553,719,1553,0,0,0,0,0,719,,NO,"",1
Reduce Friction,Raise awareness about the opportunities on Arbitrum,21.43%,16.14%,54.16%,16.14%,2274,4,1907,367,1907,0,0,0,0,0,367,,NO,"",1
Reduce Friction,Uphold transparency in both project and governance development,33.96%,26.10%,77.18%,26.10%,2276,2,1682,594,1682,0,0,0,0,0,594,,NO,"",1
Uncategorized Options,,"","","","",0,2278,0,0,,,,,,,,50.0,NO,,
Growth and Innovation,,9.32%,17.18%,2.83%,1.02%,2267,11,0,0,,,,,,,,50.0,NO,,
Growth and Innovation,Define growth strategies,25.55%,18.99%,61.55%,18.99%,2265,13,1835,430,1835,0,0,0,0,0,430,,NO,1,0
Growth and Innovation,Develop accountability practices within ArbitrumDAO,14.23%,11.83%,41.73%,11.83%,2266,12,1998,268,1998,0,0,0,0,0,268,,Yes,1,0
Growth and Innovation,Evolve governance capabilities,19.45%,14.88%,50.68%,14.88%,2265,13,1928,337,1928,0,0,0,0,0,337,,Yes,1,0
Growth and Innovation,Form alliances with legacy institutions to boost our growth,13.26%,11.30%,40.10%,11.30%,2266,12,2010,256,2010,0,0,0,0,0,256,,Yes,1,0
Growth and Innovation,Fund projects to enhance cross-chain compatibility,19.85%,15.13%,51.39%,15.13%,2267,11,1924,343,1924,0,0,0,0,0,343,,NO,1,0
Growth and Innovation,Identify the key capabilities that will lead to improved DAO performance,12.44%,10.86%,38.73%,10.86%,2266,12,2020,246,2020,0,0,0,0,0,246,,Yes,1,0
Growth and Innovation,Improve gas fee optimization,35.23%,27.39%,79.58%,27.39%,2264,14,1644,620,1644,0,0,0,0,0,620,,NO,1,0
Growth and Innovation,Incentivize users and builders to come to Arbitrum,27.42%,20.40%,64.98%,20.40%,2265,13,1803,462,1803,0,0,0,0,0,462,,NO,1,0
Growth and Innovation,Offer educational opportunities to build the community,25.36%,18.84%,61.20%,18.84%,2266,12,1839,427,1839,0,0,0,0,0,427,,NO,1,0
Growth and Innovation,Scale the platform,29.67%,22.21%,69.13%,22.21%,2265,13,1762,503,1762,0,0,0,0,0,503,,NO,1,0
