"Title","GrantId"
"VueDapp","14833"
"Osmium","14854"
"Pairwise","14929"
"stateborn - hybrid off-chain","15015"
"InBest Program","14666"
"Biteye","15212"
"Treasury & Sustainability Working Group","14496"
"Trusted Labs","14503"
"Omni","14526"
"Open Source Observer","14510"
"Helka Gaming","14540"
"Open Block Labs","14547"
"Andy","14657"
"Peporoni Joe","14535"
"Arbitrum Cipher Sessions","14768"
"Diana Chen","14576"
"thinkDecade","14612"
"thinkDecade","14612"
"Raho","14639"
"DAO Masons","14566"
"Blockscience","14557"
"Larva","14650"
"Atomist","14618"
"MUX Protocol","15292"
"GMX","15303"
"Karma - GAP","14434"
"DeFi Teddy","14616"
"Migi","14451"
"0xRamen","14630"
"Francescoweb3","14622"
"Voting Power","14680"
"limes.eth","14710"
"Carl Zielinski | Princeton Blockchain Club","14736"
"0xngmi","14756"
"Arbitrum STIP Stream Tracker","14689"
"ArbitrumDAO delegates","14695"
"Burns","14696"
"0xidm's DAO governance analysis and AIP","14781"
"Arbitrum Thailand","14716"
"Taylor Pedde","14728"
"Nathan VDH","14746"
"Arbitrum EcofuseAI","14791"
"Arbitrum votable supply tracker","14775"
"WELLDONE","14804"
"Blocknative","14814"
"Rantom","14825"
"DexKit","14843"
"Giveth","14910"
"RentFun","14902"
"Unitap","14933"
"AikiCloud","14946"
"Mempools","14960"
"Dasy","14861"
"1W3","14871"
"solidity-analyzer","14881"
"Punk Domains","14895"
"Fiat24","14937"
"EthereansOS","14917"
"Inverter Network","15003"
"GiveStation","14977"
"Pulsar Protocol","14966"
"The Forus","14988"
"Torque","14999"
"Dininho Fun World","15043"
"MEEET","15053"
"SpaceCatch","15075"
"KeplerHomes","15085"
"Camelot","15300"
"All Weather Protocol","15023"
"Stumble upon Rumble","15031"
"Arbibots","15065"
"Satoshi Treasure","15112"
"Thunder Chat","15188"
"Ethereum News Podcast","15198"
"Fractal Visions","15091"
"Vertex","15319"
"Smart Aliens","15116"
"Ethereum Mexico","15137"
"Smithonia","15103"
"Monkey Empire","15128"
"BanklessDAO","15156"
"ArbitrumNews DAO","15146"
"ArbiSocks","15168"
"Arbitrum Africa","15178"
"PLAY2LEARN","15259"
"PLAY2LEARN GAMES","15259"
"growthepie.xyz 🥧📏","15225"
"L2 en Español","15240"
"GMX","15274"
"MUX Protocol","15313"
"Socket Protocol","15411"
"Solow","15229"
"GMX","15279"
"Patrick Collins","15251"
"Radiant","15333"
"JonesDAO","15347"
"Pendle","15357"
"Trader Joe","15366"
"Dopex","15374"
"Abracadabra (SPELL)","15390"
"KyberSwap","15401"
"Silo Finance","15425"
"Lodestar Finance","15446"
"GMX","15310"
"Premia","15434"
"Gamma","15457"
"Rysk","15554"
"OpenOcean","15567"
"Umami Finance","15474"
"Angle Protocol","15529"
"Timeswap","15588"
"Galxe","15543"
"WINR Protocol","15578"
"Saavy","15593"
"Tally","15601"
"One Click Crypto","15647"
"Good Entry","15611"
"Stella","15615"
"Clique","15713"
"Mountain Protocol","15656"
"Sweep n' Flip | NFT DEX","15653"
"Build3rs Labs","15665"
"Spire","15756"
"Smilee LP & IG Simulator with IL Hedge","15672"
"Critonopix","15689"
"Amelia","15680"
"Gaming Chronicles","15746"
"etherSource","15764"
"Smithonia","15781"
"FPS","15788"
"Pear Protocol","15703"
"Gaming Startup Collective","15716"
"LLC Game","15724"
"Kaiju Cards","15736"
"Gold Inc","15769"
"Chess.fish","15794"
"Layer3","15800"
"Arbitrum Arabic","15810"
"Arbitrum Aeternum Program","15816"
"Reclaim Protocol","15932"
"Bonadocs","15940"
"MetricsDAO","15842"
"Onboarding of new developers","15847"
"Arbitrum Python SDK","15884"
"Bytekode","15919"
"Blockchain Innovation Hub","15837"
"Arbitrum Academy","15857"
"Arbitrum STIP Virtual Event Marathon","15824"
"DeFi Africa - Web3 BUIDL Workshops","15876"
"JiffyScan","15893"
"DeFi Teller","15901"
"Espacio Cripto","15911"
"Ethereum Mexico 2023","15867"
"Coini Technologies","15947"
"Laika","15961"
"ShapeShift","15956"
"Burns","15993"
"Grant Ships","16071"
"Blockchain Innovation Hub","16156"
"Web3 Citizen","16225"
"Oasis Onchain","16243"
"Into the Dungeons-Machinata","16281"
"WEB3BEACH","16232"
"RadDream","16253"
"Beningin","16263"
"Smol Age","16269"
"Play2Learn Games","16273"
