Activity,ActivityPropAllUsers,ActivityPropCorrectUsers
W1 Push,0.13987845906304439,0.6100092785896544
W1 Twitter,0.08932062073642638,0.389526791927627
J_CommentReduceFriction,0.06644858446031303,0.2897819531431223
J_CommentGrowthInnovation,0.0664618821558224,0.28983994432846205
J_CommentMission,0.06648847754684113,0.2899559266991417
J_CommentVision,0.0664618821558224,0.28983994432846205
W2 Push,0.01815135437028763,0.0791579679888657
W2 Twitter,0.028403877608010532,0.12386917188587335
W2 JokeRace STP Vote,0.010744537971569526,0.046856877754581305
W2 JokeRace LTP Vote,0.009401470725123337,0.04099976803525864
W2 JokeRace Vision Vote,0.009308386856557759,0.040593829737879845
W2 JokeRace Mission Vote,0.00945466150716081,0.04123173277661795
W2 JokeRace Vote Bonus,0.007114267097512002,0.031025284156808164
W3 Push,0.0026861344928923816,0.011714219438645326
W3 Ethelo Connect,0.014055664153402215,0.06129668290419856
W3 Ethelo Demo,0.01890932301432162,0.0824634655532359
W3 Ethelo Mission Vision,0.01890932301432162,0.0824634655532359
W4 Push,8.111594260714618e-4,0.0035374623057295293
W4 Twitter,0.028137923697823166,0.12270934817907678
W4 Snapshot,0.06648847754684113,0.2899559266991417
W4 Ethelo Priorities,0.028988976210422734,0.1264207840408258
W4 Ethelo Demo,0.028044839829257588,0.12230340988169798
W4 Gitcoin,0.00105051794524009,0.004581303641846439
